user-id,game-title,behavior,value
5250,Alien Swarm,purchase,1.0
5250,Alien Swarm,,4.9
5250,Cities Skylines,purchase,1.0
5250,Cities Skylines,,144.0
5250,Counter Strike,purchase,1.0
5250,Counter Strike,purchase,1.0
5250,Day Of Defeat,purchase,1.0
5250,Deathmatch Classic,purchase,1.0
5250,Deus Ex Human Revolution,purchase,1.0
5250,Deus Ex Human Revolution,,62.0
5250,Dota 2,purchase,1.0
5250,Dota 2,,0.2
5250,Half Life,purchase,1.0
5250,Half Life 2,purchase,1.0
5250,Half Life 2,purchase,1.0
5250,Half Life 2 Episode One,purchase,1.0
5250,Half Life 2 Episode Two,purchase,1.0
5250,Half Life 2,purchase,1.0
5250,Half Life,purchase,1.0
5250,Half Life,purchase,1.0
5250,Portal,purchase,1.0
5250,Portal 2,purchase,1.0
5250,Portal 2,,13.6
5250,Ricochet,purchase,1.0
5250,Team Fortress 2,purchase,1.0
5250,Team Fortress 2,,0.8
5250,Team Fortress Classic,purchase,1.0
76767,Age Of Empires Ii Hd Edition,purchase,1.0
76767,Age Of Empires Ii Hd Edition,,13.1
76767,Alien Swarm,purchase,1.0
76767,Alien Swarm,,0.8
76767,Arma 2,purchase,1.0
76767,Arma 2,purchase,1.0
76767,Arma 2,purchase,1.0
76767,Banished,purchase,1.0
76767,Banished,,24.0
76767,Call Of Duty,purchase,1.0
76767,Call Of Duty,,22.0
76767,Call Of Duty,purchase,1.0
76767,Call Of Duty,,12.5
76767,Call Of Duty 2,purchase,1.0
76767,Call Of Duty 2,,65.0
76767,Call Of Duty 2,purchase,1.0
76767,Call Of Duty 2,,165.0
76767,Call Of Duty Modern Warfare 3,purchase,1.0
76767,Call Of Duty Modern Warfare 3,,15.9
76767,Call Of Duty Modern Warfare 3,purchase,1.0
76767,Call Of Duty Modern Warfare 3,,9.7
76767,Call Of Duty,purchase,1.0
76767,Call Of Duty,,271.0
76767,Counter Strike,purchase,1.0
76767,Counter Strike,,365.0
76767,Counter Strike,purchase,1.0
76767,Counter Strike,,3.5
76767,Counter Strike,purchase,1.0
76767,Counter Strike,,25.0
76767,Day Of Defeat,purchase,1.0
76767,Deathmatch Classic,purchase,1.0
76767,Half Life,purchase,1.0
76767,Half Life,,1.2
76767,Half Life,purchase,1.0
76767,Half Life,purchase,1.0
76767,Portal 2,purchase,1.0
76767,Portal 2,,15.0
76767,Ricochet,purchase,1.0
76767,Anna Extended Edition,purchase,1.0
76767,Anna Extended Edition,,5.7
76767,Team Fortress Classic,purchase,1.0
76767,The Stanley Parable,purchase,1.0
76767,The Stanley Parable,,1.8
76767,Thief,purchase,1.0
76767,Thief,purchase,1.0
76767,Thief,purchase,1.0
76767,Thief,purchase,1.0
76767,Thief,purchase,1.0
76767,Thief 2,purchase,1.0
76767,Thief,purchase,1.0
76767,Thief,,3.4
76767,Thief,purchase,1.0
76767,Total War Attila,purchase,1.0
76767,Total War Attila,,207.0
76767,Worms,purchase,1.0
76767,Worms,,0.4
86540,Age Of Empires Ii Hd Edition,purchase,1.0
86540,Age Of Empires Ii Hd Edition,,0.7
86540,Age Of Empires Ii Hd The Forgotten,purchase,1.0
86540,Alan Wake,purchase,1.0
86540,Alan Wake,,0.2
86540,Alan Wake,purchase,1.0
86540,Arma 2,purchase,1.0
86540,Arma 2,purchase,1.0
86540,Arma 2,purchase,1.0
86540,Audiosurf,purchase,1.0
86540,Audiosurf,,57.0
86540,Back To The Future Ep 1 It S About Time,purchase,1.0
86540,Back To The Future Ep 2 Get Tannen,purchase,1.0
86540,Back To The Future Ep 3 Citizen Brown,purchase,1.0
86540,Back To The Future Ep 4 Double Visions,purchase,1.0
86540,Back To The Future Ep 5 Outatime,purchase,1.0
86540,Borderlands 2,purchase,1.0
86540,Borderlands 2,,0.7
86540,Counter Strike,purchase,1.0
86540,Day Of Defeat,purchase,1.0
86540,Deathmatch Classic,purchase,1.0
86540,Deus Ex Game Of The Year Edition,purchase,1.0
86540,Deus Ex Human Revolution,purchase,1.0
86540,Deus Ex Human Revolution,purchase,1.0
86540,Deus Ex Invisible War,purchase,1.0
86540,Dirt 3,purchase,1.0
86540,Dirt 3,purchase,1.0
86540,Dirt,purchase,1.0
86540,Light,purchase,1.0
86540,Far Cry 3,purchase,1.0
86540,Far Cry 3,,17.8
86540,Half Life,purchase,1.0
86540,Half Life 2,purchase,1.0
86540,Half Life 2 Episode One,purchase,1.0
86540,Half Life,purchase,1.0
86540,Half Life,purchase,1.0
86540,Hector Ep 1,purchase,1.0
86540,Hector Ep 2,purchase,1.0
86540,Hector Ep 3,purchase,1.0
86540,Killer Is Dead,purchase,1.0
86540,Killer Is Dead,,5.3
86540,L A Noire,purchase,1.0
86540,Left 4 Dead 2,purchase,1.0
86540,Left 4 Dead 2,,16.4
86540,Max Payne 3,purchase,1.0
86540,Max Payne 3,,0.9
86540,Operation Z,purchase,1.0
86540,Operation Z,purchase,1.0
86540,Overlord,purchase,1.0
86540,Overlord Ii,purchase,1.0
86540,Overlord,purchase,1.0
86540,The Sun At Night,purchase,1.0
86540,Portal,purchase,1.0
86540,Portal,,0.2
86540,Portal 2,purchase,1.0
86540,Puzzle Agent,purchase,1.0
86540,Puzzle Agent 2,purchase,1.0
86540,Ricochet,purchase,1.0
86540,Rise Of The Argonauts,purchase,1.0
86540,Sam Max 301 The Penal Zone,purchase,1.0
86540,Sam Max 302 The Tomb Of Sammun Mak,purchase,1.0
86540,Sam Max 303 They Stole Max S Brain,purchase,1.0
86540,Sam Max 304 Beyond The Alley Of The Dolls,purchase,1.0
86540,Sam Max 305 The City That Dares Not Sleep,purchase,1.0
86540,Serious Sam 2,purchase,1.0
86540,Serious Sam 3 Bfe,purchase,1.0
86540,Serious Sam The Random Encounter,purchase,1.0
86540,Serious Sam The Random Encounter,purchase,1.0
86540,Serious Sam Classics Revolution,purchase,1.0
86540,Serious Sam Double D Xxl,purchase,1.0
86540,Serious Sam The Random Encounter,purchase,1.0
86540,Serious Sam The Random Encounter,,0.2
86540,Serious Sam The Random Encounter,purchase,1.0
86540,Skyrim High Resolution Texture Pack,purchase,1.0
86540,Team Fortress Classic,purchase,1.0
86540,The Elder Scrolls V Skyrim,purchase,1.0
86540,The Elder Scrolls V Skyrim,,113.0
86540,The Elder Scrolls V Skyrim,purchase,1.0
86540,The Elder Scrolls V Skyrim,purchase,1.0
86540,The Elder Scrolls V Skyrim,purchase,1.0
86540,The Walking Dead,purchase,1.0
86540,The Walking Dead,,1.8
86540,Tom Clancy S Ghost Recon,purchase,1.0
86540,Tom Clancy S Ghost Recon,,0.2
86540,Tom Clancy S Ghost Recon Advanced Warfighter 2,purchase,1.0
86540,Tom Clancy S Ghost Recon,purchase,1.0
86540,Tom Clancy S Splinter Cell,purchase,1.0
86540,Torchlight Ii,purchase,1.0
86540,Torchlight Ii,,3.6
86540,Tropico 4,purchase,1.0
86540,Universe Sandbox,purchase,1.0
86540,Wallace Gromit Ep 1 Fright Of The Bumblebees,purchase,1.0
86540,Wallace Gromit Ep 2 The Last Resort,purchase,1.0
86540,Wallace Gromit Ep 3 Muzzled,purchase,1.0
86540,Wallace Gromit Ep 4 The Bogey Man,purchase,1.0
86540,Xcom Enemy Unknown,purchase,1.0
86540,Xcom Enemy Unknown,,37.0
103360,Counter Strike,purchase,1.0
103360,Counter Strike,purchase,1.0
103360,Counter Strike,purchase,1.0
103360,Day Of Defeat,purchase,1.0
103360,Deathmatch Classic,purchase,1.0
103360,Half Life,purchase,1.0
103360,Half Life,purchase,1.0
103360,Half Life,purchase,1.0
103360,Ricochet,purchase,1.0
103360,Team Fortress Classic,purchase,1.0
144736,Counter Strike,purchase,1.0
144736,Counter Strike,,0.1
144736,Day Of Defeat,purchase,1.0
